width,depth,one_gates,two_gates,Dp1,Dp2,Dp3,P,O,F,S,ideal_prob
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.006,0.006,0.994,4.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.001,0.001,0.999,2.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.003,0.003,0.997,4.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.003,0.003,0.997,4.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.006,0.006,0.994,6.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.009,0.009,0.991,5.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.002,0.002,0.998,3.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.002,0.002,0.998,4.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.004,0.004,0.996,4.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.002,0.002,0.998,5.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.005,0.005,0.995,3.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.007,0.007,0.993,2.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.006,0.006,0.994,5.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.003,0.003,0.997,3.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.003,0.003,0.997,3.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.002,0.002,0.998,2.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.001,0.001,0.999,4.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.006,0.006,0.994,3.0,0.002
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.003,0.003,0.997,3.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.006,0.006,0.994,2.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.002,0.002,0.998,5.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.003,0.003,0.997,2.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.002,0.002,0.998,2.0,0.003
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.005,0.005,0.995,2.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.005,0.005,0.995,3.0,0.002
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.003,0.003,0.997,3.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.003,0.003,0.997,5.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.002,0.002,0.998,4.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.008,0.008,0.992,1.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.001,0.001,0.999,2.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.003,0.003,0.997,2.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.004,0.004,0.996,3.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.002,0.002,0.998,2.0,0.004
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.001,0.001,0.999,4.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.004,0.004,0.996,5.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.001,0.001,0.999,3.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.004,0.004,0.996,2.0,0.003
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.002,0.002,0.998,1.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.002,0.002,0.998,6.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.008,0.008,0.992,2.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.003,0.003,0.997,4.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.003,0.003,0.997,3.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.004,0.004,0.996,4.0,0.001
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.006,0.006,0.994,6.0,0.003
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.002,0.002,0.998,2.0,0.001
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.005,0.005,0.995,4.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.002,0.002,0.998,6.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.002,0.002,0.998,3.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.002,0.002,0.998,4.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.007,0.007,0.993,3.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.001,0.001,0.999,6.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.003,0.003,0.997,4.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.003,0.003,0.997,5.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.061,0.065,0.939,4.0,0.226
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.013,0.013,0.987,4.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.002,0.002,0.998,4.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.003,0.003,0.997,4.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.012,0.012,0.988,2.0,0.004
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.002,0.002,0.998,3.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.011,0.011,0.989,5.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.045,0.048,0.955,3.0,0.249
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.009,0.009,0.991,4.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.007,0.007,0.993,7.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.009,0.009,0.991,4.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.003,0.003,0.997,3.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.002,0.002,0.998,3.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.011,0.011,0.989,5.0,0.002
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.004,0.004,0.996,3.0,-1.0
16.0,770.0,1946.0,209.0,0.461,0.646,0.847,0.004,0.004,0.996,5.0,-1.0
