width,depth,gate_counts_1q,gate_counts_2q,Dp1,Dp2,Dp3,POS,POF,ODR,target
5,8,13,2,0.17571762812291372,0.17379933108422252,0.17615753250831898,0.046,0.954,0.048,-1.0
5,8,13,2,0.17571762812291372,0.17379933108422252,0.17615753250831898,0.005,0.995,0.005,-1.0
7,9,18,3,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.821,0.179,4.577,0.5078125
7,9,18,3,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.041,0.959,0.043,-1.0
7,9,18,3,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.004,0.996,0.004,-1.0
7,9,18,3,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.011,0.989,0.011,-1.0
7,9,18,3,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.041,0.959,0.043,-1.0
7,9,18,3,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.077,0.923,0.083,-1.0
7,9,18,3,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.003,0.997,0.003,-1.0
7,9,18,3,0.22763463732415537,0.22670633468278772,0.2241945457706292,0.003,0.997,0.003,-1.0
9,10,23,4,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.075,0.925,0.081,-1.0
9,10,23,4,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.018,0.982,0.018,-1.0
9,10,23,4,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.688,0.312,2.21,0.4794921875
9,10,23,4,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.003,0.996,0.004,-1.0
9,10,23,4,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.067,0.933,0.072,-1.0
9,10,23,4,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.024,0.976,0.024,-1.0
9,10,23,4,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.069,0.931,0.074,-1.0
9,10,23,4,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.011,0.989,0.011,-1.0
9,10,23,4,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.007,0.993,0.007,-1.0
9,10,23,4,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.016,0.984,0.016,-1.0
9,10,23,4,0.28241010477773476,0.2811572587504785,0.28159145821985904,0.001,0.999,0.001,-1.0
